F_val_m,mu_m,sh_val,repeat_num,t_f
1.1,0.03,0,9,4675
1.1,0.03,0,10,2390
1.1,0.03,0,11,401
1.1,0.03,0,12,18608
1.1,0.03,0,13,20683
1.1,0.03,0,14,9907
1.1,0.03,0,15,5653
1.1,0.03,0,16,13813
1.1,0.03,0,17,890
1.1,0.03,0,18,25930
1.1,0.03,0,19,8384
1.1,0.03,0,20,2712
1.1,0.03,0,21,575
1.1,0.03,0,22,6979
1.1,0.03,0,23,12738
1.1,0.03,0,24,11482
1.1,0.03,0,25,7638
1.1,0.04,0,1,2280
1.1,0.04,0,2,11265
1.1,0.04,0,3,1754
1.1,0.04,0,4,10047
1.1,0.04,0,5,13213
1.1,0.04,0,6,9047
1.1,0.04,0,7,9566
1.1,0.04,0,8,724
1.1,0.04,0,9,2253
1.1,0.04,0,10,9910
1.1,0.04,0,11,10280
1.1,0.04,0,12,10319
1.1,0.04,0,13,206
1.1,0.04,0,14,17338
1.1,0.04,0,15,4961
1.1,0.04,0,16,1927
1.1,0.04,0,17,13813
1.1,0.04,0,18,768
1.1,0.04,0,19,8150
1.1,0.04,0,20,5775
1.1,0.04,0,21,10676
1.1,0.04,0,22,1825
1.1,0.04,0,23,3478
1.1,0.04,0,24,9312
1.1,0.04,0,25,1499
1.1,0.05,0,1,235
1.1,0.05,0,2,5263
1.1,0.05,0,3,2406
1.1,0.05,0,4,310
1.1,0.05,0,5,2731
1.1,0.05,0,6,3117
1.1,0.05,0,7,1785
1.1,0.05,0,8,8396
1.1,0.05,0,9,79
1.1,0.05,0,10,467
1.1,0.05,0,11,6892
1.1,0.05,0,12,1934
1.1,0.05,0,13,1048
1.1,0.05,0,14,2396
1.1,0.05,0,15,5061
1.1,0.05,0,16,233
1.1,0.05,0,17,2643
1.1,0.05,0,18,8855
1.1,0.05,0,19,4261
1.1,0.05,0,20,1816
1.1,0.05,0,21,1646
1.1,0.05,0,22,430
1.1,0.05,0,23,1598
1.1,0.05,0,24,5870
1.1,0.05,0,25,954
1.1,0.060000000000000005,0,1,3122
1.1,0.060000000000000005,0,2,670
1.1,0.060000000000000005,0,3,877
1.1,0.060000000000000005,0,4,2544
1.1,0.060000000000000005,0,5,1633
1.1,0.060000000000000005,0,6,363
1.1,0.060000000000000005,0,7,415
1.1,0.060000000000000005,0,8,1991
1.1,0.060000000000000005,0,9,2426
1.1,0.060000000000000005,0,10,1185
1.1,0.060000000000000005,0,11,126
1.1,0.060000000000000005,0,12,509
1.1,0.060000000000000005,0,13,2504
1.1,0.060000000000000005,0,14,5983
1.1,0.060000000000000005,0,15,4712
1.1,0.060000000000000005,0,16,1315
1.1,0.060000000000000005,0,17,3486
1.1,0.060000000000000005,0,18,8125
1.1,0.060000000000000005,0,19,378
1.1,0.060000000000000005,0,20,94
1.1,0.060000000000000005,0,21,895
1.1,0.060000000000000005,0,22,1591
1.1,0.060000000000000005,0,23,290
1.1,0.060000000000000005,0,24,2818
1.1,0.060000000000000005,0,25,329
1.1,0.06999999999999999,0,1,1035
1.1,0.06999999999999999,0,2,287
1.1,0.06999999999999999,0,3,1001
1.1,0.06999999999999999,0,4,680
1.1,0.06999999999999999,0,5,1029
1.1,0.06999999999999999,0,6,483
1.1,0.06999999999999999,0,7,378
1.1,0.06999999999999999,0,8,626
1.1,0.06999999999999999,0,9,299
1.1,0.06999999999999999,0,10,2568
1.1,0.06999999999999999,0,11,145
1.1,0.06999999999999999,0,12,682
